"","squirrel_id","year","date","grid","time","id","date1","fieldBDate","mom_byear","n_pups","litter_ratio","cone_index_t","cone_index_tm1","gestation_days","gestation_age","gestation_age2","mast","treatment"
"1",4228,1995,1995-06-16,"LL","12:21:00",1546,"1995-08-02",1995-07-22,1993,5,0.4,3.13666275137104,0.298124956743886,36,2,4,0,"control"
"2",6093,2000,2000-04-20,"LL",NA,2602,"2000-05-30",2000-05-27,1998,3,0.333333333333333,0.391076696153792,1.36535163090049,37,2,4,0,"control"
"3",6348,2003,2003-02-19,"SU","11:15",2975,"2003-04-02",2003-03-28,2000,3,0.333333333333333,0.485929167142752,1.48459025636092,37,3,9,0,"control"
"4",6495,2003,2003-03-06,"SU","11:54",2979,"2003-04-16",2003-04-11,1998,2,1,0.485929167142752,1.48459025636092,36,5,25,0,"control"
"5",5696,2003,2003-03-07,"SU","13:45",2960,"2003-04-14",2003-04-12,1997,4,0.5,0.485929167142752,1.48459025636092,36,6,36,0,"control"
"6",5764,2003,2003-03-07,"KL","14:03",2909,"2003-04-17",2003-04-12,2000,3,0.333333333333333,1.3867000734311,2.35521355600171,36,3,9,0,"control"
"7",6071,2003,2003-03-12,"KL","10:14",2927,"2003-04-21",2003-04-16,1998,3,0,1.3867000734311,2.35521355600171,35,5,25,0,"control"
"8",5725,2003,2003-03-12,"SU","11:41",2962,"2003-04-21",2003-04-17,1998,3,1,0.485929167142752,1.48459025636092,36,5,25,0,"control"
"9",5751,2003,2003-03-14,"SU","11:24",2964,"2003-04-22",2003-04-19,2001,3,0,0.485929167142752,1.48459025636092,36,2,4,0,"control"
"10",6072,2003,2003-03-15,"KL","13:43",2928,"2003-04-21",2003-04-19,1998,3,0.333333333333333,1.3867000734311,2.35521355600171,35,5,25,0,"control"
"11",5833,2003,2003-03-20,"KL","11:59",2917,"2003-04-25",2003-04-24,2001,3,0.333333333333333,1.3867000734311,2.35521355600171,35,2,4,0,"control"
"12",7609,2003,2003-03-20,"KL","11:00",2939,"2003-04-25",2003-04-24,2001,4,0.75,1.3867000734311,2.35521355600171,35,2,4,0,"control"
